name,size,about
MEC ENG 173,1,Plane and spherical sound waves. Sound intensity. Propagation in tubes and horn...
MEC ENG 174,1,Oscillations in nonlinear systems having one or two degrees of freedom. Graphic...
MEC ENG 175,1,This course introduces and investigates Lagrange's equations of motion for part...
MEC ENG C176,1,"Statics, dynamics, optimization theory, composite beam theory, beam-on-elastic ..."
MEC ENG C178,1,The course provides project-based learning experience in understanding product ...
MEC ENG 179,1,This course provides hands-on experience in designing prostheses and assistive ...
MEC ENG C180,1,This is an introductory course on the finite element method and is intended for...
MEC ENG 185,1,This course is a general introduction to the fundamental concepts of the mechan...
MEC ENG 190L,1,"After a review of basic loopshaping, we introduce the loopshaping design method..."
MEC ENG 190M,1,Basics on optimization and polyhedra manipulation. Analysis and design of const...
MEC ENG 190Y,1,The Youla-parametrization of all stabilizing controllers allows certain time-do...
MEC ENG 191K,1,This course is designed to enhance students' written and oral communication ski...
MEC ENG 193A,1,This 193 series covers current topics of research interest in biomechanical eng...
MEC ENG 193B,1,This 193 series covers current topics of research interest in controls. The cou...
MEC ENG 193C,1,This 193 series covers current topics of research interest in design. The cours...
MEC ENG 193D,1,This 193 series covers current topics of research interest in dynamics. The cou...
MEC ENG 193E,1,This 193 series covers current topics of research interest in energy science an...
MEC ENG 193F,1,This 193 series covers current topics of research interest in fluids. The cours...
MEC ENG 193G,1,This 193 series covers current topics of research interest in manufacturing. Th...
MEC ENG 193H,1,This 193 series covers current topics of research interest in materials. The co...
MEC ENG 193I,1,This 193 series covers current topics of research interest in mechanics. The co...
MEC ENG 193J,1,This 193 series covers current topics of research interest in MEMS/nano. The co...
MEC ENG 193K,1,This 193 series covers current topics of research interest in ocean engineering...
MEC ENG H194,1,Final report required. Students who have completed a satisfactory number of adv...
MEC ENG 196,1,Students who have completed a satisfactory number of advanced courses may pursu...
MEC ENG 197,1,Supervised experience relative to specific aspects of practice in engineering. ...
MEC ENG 198,1,Group study of a selected topic or topics in Mechanical Engineering. Credit for...
MEC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the introducti...
MEC ENG C200,1,This required course for the Designated Emphasis in Development Engineering wil...
MEC ENG C201,1,This course provides the student with a modern introduction to the basic indust...
MEC ENG C201,1,This course provides the student with a modern introduction to the basic indust...
MEC ENG C202,1,The course is self-contained and is designed in an interdisciplinary manner for...
MEC ENG 203,1,This course surveys sub-micrometer pattern-transfer techniques and methods for ...
MEC ENG 204,1,This course is designed to prepare students for technical leadership in industr...
MEC ENG C205,1,Critical Making will operationalize and critique the practice of “making” throu...
MEC ENG 206,1,This course explores contemporary research in engineering design and prototypin...
MEC ENG C210,1,"Students will learn the application of engineering concepts including statics, ..."
MEC ENG 211,1,"This course offers a modular and systems mechanobiology (or ""machine"") perspect..."
MEC ENG C212,1,Fundamental processes of heat and mass transport in biological systems; organic...
MEC ENG C213,1,"Fluid mechanical aspects of various physiological systems, the circulatory, res..."
MEC ENG C214,1,The goal of this course is to provide a foundation for characterizing and under...
MEC ENG C215,1,This course covers the structure and mechanical functions of load bearing tissu...
MEC ENG C216,1,This course develops and applies scaling laws and the methods of continuum and ...
MEC ENG C217,1,Study of nature's solutions to specific problems with the aim of determining ap...
MEC ENG 218N,1,UG and Grad. introduction to nanotechnology and nanoscience. The course has two...
MEC ENG C218,1,"Physics, fabrication, and design of micro-electromechanical systems (MEMS). Mic..."
MEC ENG 219,1,"Fundamentals of microelectromechanical systems including design, fabrication of..."
MEC ENG C219,1,"Parametric design and optimal design of MEMS. Emphasis on design, not fabricati..."
MEC ENG 220,1,Introduction to precision engineering for manufacturing. Emphasis on design and...
MEC ENG C220D,1,"Introduction to input/output concepts from control theory, systems as operators..."
MEC ENG 221,1,Fundamentals of lean manufacturing systems including manufacturing fundamentals...
MEC ENG C223,1,A survey of the structure and mechanical properties of advanced engineering pol...
MEC ENG 224,1,This course covers elastic and plastic deformation under static and dynamic loa...
MEC ENG C225,1,This course covers deformation and fracture behavior of engineering materials f...
MEC ENG 226,1,Surface interactions. Fundamentals of contact mechanics. Friction theories. Typ...
MEC ENG 227,1,Response of composite materials (fiber and particulate-reinforced materials) to...
MEC ENG 229,1,"Fundamental principles of magnetics, electro-magnetics, and magnetic materials ..."
MEC ENG 230A,1,"Advanced optimization, polyhedra manipulation, and multiparametric programming...."
MEC ENG 230B,1,Theoretical development of the common methods in control system robustness anal...
MEC ENG C231A,1,Experience-based learning in the design of SISO and MIMO feedback controllers f...
MEC ENG C231B,1,"Experience-based learning in the design, analysis, and verification of automati..."
MEC ENG C232,1,Input-output and state space representation of linear continuous and discrete t...
